country;iso;concept;conceptAbbr;year;Value
Moldova, Republic of;MDA;#BBP;BBP;2007;0.571014433
Netherlands;NLD;#BBP;BBP;2007;0.765319068
Germany;DEU;#BBP;BBP;2007;0.684982895
Norway;NOR;#BBP;BBP;2007;0.538829074
Poland;POL;#BBP;BBP;2007;0.644633481
Portugal;PRT;#BBP;BBP;2007;0.687358732
Russian Federation;RUS;#BBP;BBP;2007;0.467436084
Romania;ROU;#BBP;BBP;2007;0.572699749
Slovakia;SVK;#BBP;BBP;2007;0.603115683
Slovenia;SVN;#BBP;BBP;2007;0.664565741
Turkey;TUR;#BBP;BBP;2007;0.602946287
Hungary;HUN;#BBP;BBP;2007;0.572663422
Ukraine;UKR;#BBP;BBP;2007;0.588459712
Finland;FIN;#BBP;BBP;2007;0.243710188
France;FRA;#BBP;BBP;2007;0.63307051
Croatia;HRV;#BBP;BBP;2007;0.596391703
Czech Republic;CZE;#BBP;BBP;2007;0.680955417
Switzerland;CHE;#BBP;BBP;2007;0.711351829
Sweden;SWE;#BBP;BBP;2007;0.345335884
Austria;AUT;#BBP;BBP;2008;0.630224263
Azerbaijan;AZE;#BBP;BBP;2008;0.596750843
Albania;ALB;#BBP;BBP;2008;0.581121986
Belgium;BEL;#BBP;BBP;2008;0.786831402
Belarus;BLR;#BBP;BBP;2008;0.564336757
Bulgaria;BGR;#BBP;BBP;2008;0.580139406
Bosnia and Herzegovina;BIH;#BBP;BBP;2008;0.589447206
United Kingdom;GBR;#BBP;BBP;2008;0.69416888
Armenia;ARM;#BBP;BBP;2008;0.585045798
Greece;GRC;#BBP;BBP;2008;0.692452843
Georgia;GEO;#BBP;BBP;2008;0.547902594
Denmark;DNK;#BBP;BBP;2008;0.697159005
Estonia;EST;#BBP;BBP;2008;0.339099499
Ireland;IRL;#BBP;BBP;2008;0.669670474
Iceland;ISL;#BBP;BBP;2008;0.5
Spain;ESP;#BBP;BBP;2008;0.690300292
Italy;ITA;#BBP;BBP;2008;0.69416888
Cyprus;CYP;#BBP;BBP;2008;0.5
Latvia;LVA;#BBP;BBP;2008;0.401076232
Lithuania;LTU;#BBP;BBP;2008;0.537889051
Luxembourg;LUX;#BBP;BBP;2008;0.5
Moldova, Republic of;MDA;#BBP;BBP;2008;0.573243967
Netherlands;NLD;#BBP;BBP;2008;0.770493891
Germany;DEU;#BBP;BBP;2008;0.661135863
Norway;NOR;#BBP;BBP;2008;0.503157698
Poland;POL;#BBP;BBP;2008;0.629753948
Portugal;PRT;#BBP;BBP;2008;0.670562509
Russian Federation;RUS;#BBP;BBP;2008;0.423561016
Romania;ROU;#BBP;BBP;2008;0.560364273
Slovakia;SVK;#BBP;BBP;2008;0.623144028
Slovenia;SVN;#BBP;BBP;2008;0.661135863
Turkey;TUR;#BBP;BBP;2008;0.596265228
Hungary;HUN;#BBP;BBP;2008;0.580139406
Ukraine;UKR;#BBP;BBP;2008;0.582594646
Finland;FIN;#BBP;BBP;2008;0.721281675
France;FRA;#BBP;BBP;2008;0.62881258
Croatia;HRV;#BBP;BBP;2008;0.597721504
Czech Republic;CZE;#BBP;BBP;2008;0.659778484
Switzerland;CHE;#BBP;BBP;2008;0.712684489
Sweden;SWE;#BBP;BBP;2008;0.348200811
Austria;AUT;#BBP;BBP;2009;0.630224263
Azerbaijan;AZE;#BBP;BBP;2009;0.596750843
Albania;ALB;#BBP;BBP;2009;0.581121986
Belgium;BEL;#BBP;BBP;2009;0.786831402
Belarus;BLR;#BBP;BBP;2009;0.564336757
Bulgaria;BGR;#BBP;BBP;2009;0.580139406
Bosnia and Herzegovina;BIH;#BBP;BBP;2009;0.589447206
United Kingdom;GBR;#BBP;BBP;2009;0.69416888
Armenia;ARM;#BBP;BBP;2009;0.585045798
Greece;GRC;#BBP;BBP;2009;0.692452843
Georgia;GEO;#BBP;BBP;2009;0.547902594
Denmark;DNK;#BBP;BBP;2009;0.697159005
Estonia;EST;#BBP;BBP;2009;0.339099499
Ireland;IRL;#BBP;BBP;2009;0.669670474
Iceland;ISL;#BBP;BBP;2009;0.5
Spain;ESP;#BBP;BBP;2009;0.690300292
Italy;ITA;#BBP;BBP;2009;0.69416888
Cyprus;CYP;#BBP;BBP;2009;0.5
Latvia;LVA;#BBP;BBP;2009;0.401076232
Lithuania;LTU;#BBP;BBP;2009;0.537889051
Luxembourg;LUX;#BBP;BBP;2009;0.5
Moldova, Republic of;MDA;#BBP;BBP;2009;0.573243967
Netherlands;NLD;#BBP;BBP;2009;0.770493891
Germany;DEU;#BBP;BBP;2009;0.661135863
Norway;NOR;#BBP;BBP;2009;0.503157698
Poland;POL;#BBP;BBP;2009;0.629753948
Portugal;PRT;#BBP;BBP;2009;0.670562509
Russian Federation;RUS;#BBP;BBP;2009;0.423561016
Romania;ROU;#BBP;BBP;2009;0.560364273
Slovakia;SVK;#BBP;BBP;2009;0.623144028
Slovenia;SVN;#BBP;BBP;2009;0.661135863
Turkey;TUR;#BBP;BBP;2009;0.596265228
Hungary;HUN;#BBP;BBP;2009;0.580139406
Ukraine;UKR;#BBP;BBP;2009;0.582594646
Finland;FIN;#BBP;BBP;2009;0.721281675
France;FRA;#BBP;BBP;2009;0.62881258
Croatia;HRV;#BBP;BBP;2009;0.597721504
Czech Republic;CZE;#BBP;BBP;2009;0.659778484
Switzerland;CHE;#BBP;BBP;2009;0.712684489
Sweden;SWE;#BBP;BBP;2009;0.348200811
Austria;AUT;#BBP;BBP;2010;0.630224263
Azerbaijan;AZE;#BBP;BBP;2010;0.596750843
Albania;ALB;#BBP;BBP;2010;0.581121986
Belgium;BEL;#BBP;BBP;2010;0.786831402
Belarus;BLR;#BBP;BBP;2010;0.564336757
Bulgaria;BGR;#BBP;BBP;2010;0.580139406
Bosnia and Herzegovina;BIH;#BBP;BBP;2010;0.589447206
United Kingdom;GBR;#BBP;BBP;2010;0.69416888
Armenia;ARM;#BBP;BBP;2010;0.585045798
Greece;GRC;#BBP;BBP;2010;0.692452843
Georgia;GEO;#BBP;BBP;2010;0.547902594
Denmark;DNK;#BBP;BBP;2010;0.697159005
Estonia;EST;#BBP;BBP;2010;0.339099499
Ireland;IRL;#BBP;BBP;2010;0.669670474
Iceland;ISL;#BBP;BBP;2010;0.5
Spain;ESP;#BBP;BBP;2010;0.690300292
Italy;ITA;#BBP;BBP;2010;0.69416888
Cyprus;CYP;#BBP;BBP;2010;0.5
Latvia;LVA;#BBP;BBP;2010;0.401076232
Lithuania;LTU;#BBP;BBP;2010;0.537889051
Luxembourg;LUX;#BBP;BBP;2010;0.5
Moldova, Republic of;MDA;#BBP;BBP;2010;0.573243967
Netherlands;NLD;#BBP;BBP;2010;0.770493891
Germany;DEU;#BBP;BBP;2010;0.661135863
Norway;NOR;#BBP;BBP;2010;0.503157698
Poland;POL;#BBP;BBP;2010;0.629753948
Portugal;PRT;#BBP;BBP;2010;0.670562509
Russian Federation;RUS;#BBP;BBP;2010;0.423561016
Romania;ROU;#BBP;BBP;2010;0.560364273
Slovakia;SVK;#BBP;BBP;2010;0.623144028
Slovenia;SVN;#BBP;BBP;2010;0.661135863
Turkey;TUR;#BBP;BBP;2010;0.596265228
Hungary;HUN;#BBP;BBP;2010;0.580139406
Ukraine;UKR;#BBP;BBP;2010;0.582594646
Finland;FIN;#BBP;BBP;2010;0.721281675
France;FRA;#BBP;BBP;2010;0.62881258
Croatia;HRV;#BBP;BBP;2010;0.597721504
Czech Republic;CZE;#BBP;BBP;2010;0.659778484
Switzerland;CHE;#BBP;BBP;2010;0.712684489
Sweden;SWE;#BBP;BBP;2010;0.348200811
Austria;AUT;#BBP;BBP;2011;0.378525524
Azerbaijan;AZE;#BBP;BBP;2011;0.495087385
Albania;ALB;#BBP;BBP;2011;0.478958636
Belgium;BEL;#BBP;BBP;2011;0.477448292
Belarus;BLR;#BBP;BBP;2011;0.366265953
Bulgaria;BGR;#BBP;BBP;2011;0.389022366
Bosnia and Herzegovina;BIH;#BBP;BBP;2011;0.452357604
United Kingdom;GBR;#BBP;BBP;2011;0.465884708
Armenia;ARM;#BBP;BBP;2011;0.49407869
Greece;GRC;#BBP;BBP;2011;0.459865268
Georgia;GEO;#BBP;BBP;2011;0.478455144
Denmark;DNK;#BBP;BBP;2011;0.317307434
Estonia;EST;#BBP;BBP;2011;0.134030669
Ireland;IRL;#BBP;BBP;2011;0.347285544
Iceland;ISL;#BBP;BBP;2011;0.5
Spain;ESP;#BBP;BBP;2011;0.459865268
Italy;ITA;#BBP;BBP;2011;0.480469365
Cyprus;CYP;#BBP;BBP;2011;0.517274259
Latvia;LVA;#BBP;BBP;2011;0.164422592
Lithuania;LTU;#BBP;BBP;2011;0.32833334
Luxembourg;LUX;#BBP;BBP;2011;0.5
Moldova, Republic of;MDA;#BBP;BBP;2011;0.477448292
Netherlands;NLD;#BBP;BBP;2011;0.478958636
Germany;DEU;#BBP;BBP;2011;0.431461717
Norway;NOR;#BBP;BBP;2011;0.174355768
Poland;POL;#BBP;BBP;2011;0.435921508
Portugal;PRT;#BBP;BBP;2011;0.458863117
Russian Federation;RUS;#BBP;BBP;2011;0.229335112
Romania;ROU;#BBP;BBP;2011;0.404473561
Slovakia;SVK;#BBP;BBP;2011;0.394792282
Slovenia;SVN;#BBP;BBP;2011;0.418151615
Turkey;TUR;#BBP;BBP;2011;0.458362166
Hungary;HUN;#BBP;BBP;2011;0.417170159
Ukraine;UKR;#BBP;BBP;2011;0.413250968
Finland;FIN;#BBP;BBP;2011;0.074363939
France;FRA;#BBP;BBP;2011;0.388542915
Croatia;HRV;#BBP;BBP;2011;0.398655355
Czech Republic;CZE;#BBP;BBP;2011;0.405932387
Switzerland;CHE;#BBP;BBP;2011;0.464880729
Sweden;SWE;#BBP;BBP;2011;0.120591732
Austria;AUT;#BBP;BBP;2012;0.678094793
Azerbaijan;AZE;#BBP;BBP;2012;0.606903636
Albania;ALB;#BBP;BBP;2012;0.586025089
Belgium;BEL;#BBP;BBP;2012;0.802304323
Belarus;BLR;#BBP;BBP;2012;0.606422184
Bulgaria;BGR;#BBP;BBP;2012;0.557877504
Bosnia and Herzegovina;BIH;#BBP;BBP;2012;0.608346745
United Kingdom;GBR;#BBP;BBP;2012;0.704771275
Armenia;ARM;#BBP;BBP;2012;0.601596425
Greece;GRC;#BBP;BBP;2012;0.667882742
Georgia;GEO;#BBP;BBP;2012;0.555387829
Denmark;DNK;#BBP;BBP;2012;0.571268478
Estonia;EST;#BBP;BBP;2012;0.354177157
Ireland;IRL;#BBP;BBP;2012;0.624564397
Iceland;ISL;#BBP;BBP;2012;0.5
Spain;ESP;#BBP;BBP;2012;0.652037542
Italy;ITA;#BBP;BBP;2012;0.70097903
Cyprus;CYP;#BBP;BBP;2012;0.715156934
Latvia;LVA;#BBP;BBP;2012;0.373318792
Lithuania;LTU;#BBP;BBP;2012;0.543400806
Luxembourg;LUX;#BBP;BBP;2012;0.952241778
Moldova, Republic of;MDA;#BBP;BBP;2012;0.583575604
Netherlands;NLD;#BBP;BBP;2012;0.72491748
Germany;DEU;#BBP;BBP;2012;0.678974984
Norway;NOR;#BBP;BBP;2012;0.376628855
Poland;POL;#BBP;BBP;2012;0.649285899
Portugal;PRT;#BBP;BBP;2012;0.649745202
Russian Federation;RUS;#BBP;BBP;2012;0.479462171
Romania;ROU;#BBP;BBP;2012;0.554391173
Slovakia;SVK;#BBP;BBP;2012;0.601596425
Slovenia;SVN;#BBP;BBP;2012;0.698435414
Turkey;TUR;#BBP;BBP;2012;0.623617721
Hungary;HUN;#BBP;BBP;2012;0.572256511
Ukraine;UKR;#BBP;BBP;2012;0.563840637
Finland;FIN;#BBP;BBP;2012;0.199790704
France;FRA;#BBP;BBP;2012;0.634445886
Croatia;HRV;#BBP;BBP;2012;0.590423381
Czech Republic;CZE;#BBP;BBP;2012;0.666090159
Switzerland;CHE;#BBP;BBP;2012;0.739551532
Sweden;SWE;#BBP;BBP;2012;0.367672053
Austria;AUT;#BBP;BBP;2013;0.678094793
